Classifier, Bins, Mask, Colorspace, Classes, F1 SCORE
Nearest Neighbors, 8, True, hsv, 5, 0.6353260609677487
Linear SVM, 8, True, hsv, 5, 0.7034647935891573
Decision Tree, 8, True, hsv, 5, 0.6612567199196276
Random Forest, 8, True, hsv, 5, 0.6996091466230192
Neural Net, 8, True, hsv, 5, 0.6700833419708699
AdaBoost, 8, True, hsv, 5, 0.6776506803218993
Nearest Neighbors, 16, True, hsv, 5, 0.6650249171402652
Linear SVM, 16, True, hsv, 5, 0.7033104680778278
Decision Tree, 16, True, hsv, 5, 0.6233976372405949
Random Forest, 16, True, hsv, 5, 0.6788075670834292
Neural Net, 16, True, hsv, 5, 0.695234873129473
AdaBoost, 16, True, hsv, 5, 0.6080399839160971
Nearest Neighbors, 32, True, hsv, 5, 0.6730256025988341
Linear SVM, 32, True, hsv, 5, 0.644191833580318
Decision Tree, 32, True, hsv, 5, 0.6243166880176976
Random Forest, 32, True, hsv, 5, 0.7082304419477764
Neural Net, 32, True, hsv, 5, 0.6509702775730778
AdaBoost, 32, True, hsv, 5, 0.6814769175417534
Nearest Neighbors, 8, True, hsv, 3, 0.8264306701785192
Linear SVM, 8, True, hsv, 3, 0.8407699954160808
Decision Tree, 8, True, hsv, 3, 0.7996415358321401
Random Forest, 8, True, hsv, 3, 0.8561468932739962
Neural Net, 8, True, hsv, 3, 0.8206759962049336
AdaBoost, 8, True, hsv, 3, 0.8456309083611689
Nearest Neighbors, 16, True, hsv, 3, 0.8248573540280857
Linear SVM, 16, True, hsv, 3, 0.8464438924459482
Decision Tree, 16, True, hsv, 3, 0.8098294329173316
Random Forest, 16, True, hsv, 3, 0.8797115293389842
Neural Net, 16, True, hsv, 3, 0.8511348718591915
AdaBoost, 16, True, hsv, 3, 0.8396817125800451
Nearest Neighbors, 32, True, hsv, 3, 0.8488077260755048
Linear SVM, 32, True, hsv, 3, 0.8396376290206994
Decision Tree, 32, True, hsv, 3, 0.8104880641881359
Random Forest, 32, True, hsv, 3, 0.8672353469689763
Neural Net, 32, True, hsv, 3, 0.8459241386051498
AdaBoost, 32, True, hsv, 3, 0.8336523976452674
Nearest Neighbors, 8, True, rgb, 5, 0.623011679570064
